time,DEMA
2019-11-08,145.0140
2019-11-07,144.4428
2019-11-06,144.2134
2019-11-05,143.9719
2019-11-04,143.5440
2019-11-01,142.9781
2019-10-31,142.5082
2019-10-30,142.0191
2019-10-29,141.0536
2019-10-28,140.3737
2019-10-25,139.1473
2019-10-24,138.6368
2019-10-23,138.2386
2019-10-22,138.5245
2019-10-21,139.1204
2019-10-18,139.2540
2019-10-17,139.7031
2019-10-16,139.5914
2019-10-15,139.2418
2019-10-14,138.4777
2019-10-11,138.1199
2019-10-10,137.6446
2019-10-09,137.2310
2019-10-08,136.9747
2019-10-07,137.4000
2019-10-04,137.5060
2019-10-03,137.3508
2019-10-02,137.6895
2019-10-01,138.5688
2019-09-30,138.9459
2019-09-27,138.8402
2019-09-26,139.0774
2019-09-25,138.8426
2019-09-24,138.6016
2019-09-23,138.8679
2019-09-20,138.6826
2019-09-19,138.3642
2019-09-18,137.5045
2019-09-17,137.1830
2019-09-16,137.1132
2019-09-13,137.3306
2019-09-12,137.3112
2019-09-11,137.2290
2019-09-10,137.5275
2019-09-09,137.9001
2019-09-06,137.9382
2019-09-05,137.5279
2019-09-04,136.7528
2019-09-03,136.4990
2019-08-30,136.6450
2019-08-29,136.3033
2019-08-28,135.8145
2019-08-27,135.9545
2019-08-26,136.0779
2019-08-23,136.3151
2019-08-22,137.1957
2019-08-21,137.0140
2019-08-20,136.5037
2019-08-19,136.3211
2019-08-16,135.7730
2019-08-15,135.7625
2019-08-14,136.4563
2019-08-13,137.2200
2019-08-12,136.8315
2019-08-09,137.1629
2019-08-08,137.0192
2019-08-07,136.5085
2019-08-06,136.9214
2019-08-05,137.5959
2019-08-02,139.1261
2019-08-01,139.6435
2019-07-31,139.9320
2019-07-30,140.7819
2019-07-29,140.6343
2019-07-26,140.2414
2019-07-25,139.6557
2019-07-24,139.2537
2019-07-23,138.5963
2019-07-22,138.1896
2019-07-19,137.9265
2019-07-18,138.1104
2019-07-17,138.3772
2019-07-16,138.7286
2019-07-15,138.9060
2019-07-12,138.5804
2019-07-11,138.1617
2019-07-10,137.7728
2019-07-09,137.4347
2019-07-08,137.3987
2019-07-05,137.1897
2019-07-03,136.8835
2019-07-02,136.3728
2019-07-01,135.9794
2019-06-28,135.7351
2019-06-27,135.9062
2019-06-26,136.0357
2019-06-25,136.2292
2019-06-24,136.5778
2019-06-21,135.7261
2019-06-20,134.8870
2019-06-19,133.8393
2019-06-18,132.8944
2019-06-17,131.8686
2019-06-14,131.2560
2019-06-13,130.6028
2019-06-12,129.8243
2019-06-11,129.0957
2019-06-10,128.0185
2019-06-07,126.5521
2019-06-06,125.1030
2019-06-05,124.3617
2019-06-04,124.0327
2019-06-03,124.4024
2019-05-31,125.8086
2019-05-30,126.4262
2019-05-29,126.5912
2019-05-28,127.0148
2019-05-24,127.1772
2019-05-23,127.3457
2019-05-22,127.5603
2019-05-21,127.3867
2019-05-20,127.3858
2019-05-17,127.5689
2019-05-16,127.2520
2019-05-15,126.6092
2019-05-14,126.6482
2019-05-13,127.0551
2019-05-10,127.9332
2019-05-09,127.9067
2019-05-08,128.3219
2019-05-07,128.8038
2019-05-06,129.3631
2019-05-03,129.2638
2019-05-02,128.8970
2019-05-01,129.1866
2019-04-30,129.0270
2019-04-29,128.0180
2019-04-26,126.9899
2019-04-25,125.6695
2019-04-24,124.2425
2019-04-23,123.6617
2019-04-22,122.8077
2019-04-18,122.2260
2019-04-17,121.6090
2019-04-16,121.2962
2019-04-15,121.1830
2019-04-12,120.9467
2019-04-11,120.6688
2019-04-10,120.4887
2019-04-09,120.2903
2019-04-08,120.2890
2019-04-05,120.0811
2019-04-04,119.8178
2019-04-03,119.6268
2019-04-02,119.1977
2019-04-01,118.8758
2019-03-29,118.5103
2019-03-28,118.3519
2019-03-27,118.4253
2019-03-26,118.5362
2019-03-25,118.3194
2019-03-22,118.0993
2019-03-21,117.9770
2019-03-20,116.8928
2019-03-19,116.3160
2019-03-18,115.5500
2019-03-15,114.6153
2019-03-14,113.9290
2019-03-13,113.4501
2019-03-12,112.8737
2019-03-11,112.4054
2019-03-08,112.0443
2019-03-07,112.2515
2019-03-06,112.5210
2019-03-05,112.4408
2019-03-04,112.3363
2019-03-01,112.0268
2019-02-28,111.5501
2019-02-27,111.0904
2019-02-26,110.4692
2019-02-25,109.6382
2019-02-22,108.8284
2019-02-21,108.0042
2019-02-20,107.4338
2019-02-19,107.3750
2019-02-15,107.0021
2019-02-14,106.5247
2019-02-13,106.3128
2019-02-12,106.0737
2019-02-11,105.7536
2019-02-08,105.8273
2019-02-07,105.7918
