time,EMA
2019-11-08,142.9077
2019-11-07,142.4716
2019-11-06,142.2161
2019-11-05,141.9527
2019-11-04,141.5946
2019-11-01,141.1724
2019-10-31,140.8084
2019-10-30,140.4425
2019-10-29,139.8471
2019-10-28,139.4210
2019-10-25,138.7397
2019-10-24,138.4553
2019-10-23,138.2433
2019-10-22,138.3866
2019-10-21,138.6747
2019-10-18,138.7096
2019-10-17,138.8953
2019-10-16,138.7817
2019-10-15,138.5491
2019-10-14,138.1176
2019-10-11,137.9129
2019-10-10,137.6605
2019-10-09,137.4549
2019-10-08,137.3427
2019-10-07,137.5816
2019-10-04,137.6476
2019-10-03,137.5801
2019-10-02,137.7658
2019-10-01,138.2110
2019-09-30,138.3740
2019-09-27,138.2802
2019-09-26,138.3588
2019-09-25,138.1901
2019-09-24,138.0230
2019-09-23,138.1148
2019-09-20,137.9684
2019-09-19,137.7581
2019-09-18,137.2850
2019-09-17,137.1086
2019-09-16,137.0684
2019-09-13,137.1739
2019-09-12,137.1530
2019-09-11,137.1006
2019-09-10,137.2406
2019-09-09,137.4064
2019-09-06,137.3902
2019-09-05,137.1460
2019-09-04,136.7311
2019-09-03,136.6027
2019-08-30,136.6831
2019-08-29,136.5150
2019-08-28,136.2857
2019-08-27,136.3893
2019-08-26,136.4821
2019-08-23,136.6295
2019-08-22,137.0923
2019-08-21,136.9941
2019-08-20,136.7375
2019-08-19,136.6629
2019-08-16,136.4133
2019-08-15,136.4538
2019-08-14,136.8500
2019-08-13,137.2600
2019-08-12,137.0686
2019-08-09,137.2512
2019-08-08,137.1857
2019-08-07,136.9422
2019-08-06,137.1797
2019-08-05,137.5354
2019-08-02,138.2961
2019-08-01,138.4956
2019-07-31,138.5578
2019-07-30,138.8846
2019-07-29,138.6753
2019-07-26,138.3389
2019-07-25,137.9102
2019-07-24,137.5845
2019-07-23,137.1366
2019-07-22,136.8290
2019-07-19,136.6002
2019-07-18,136.5974
2019-07-17,136.6227
2019-07-16,136.6731
2019-07-15,136.6150
2019-07-12,136.2886
2019-07-11,135.9155
2019-07-10,135.5606
2019-07-09,135.2336
2019-07-08,135.0583
2019-07-05,134.7867
2019-07-03,134.4619
2019-07-02,134.0336
2019-07-01,133.6699
2019-06-28,133.3827
2019-06-27,133.3002
2019-06-26,133.1788
2019-06-25,133.0715
2019-06-24,133.0203
2019-06-21,132.3403
2019-06-20,131.6790
2019-06-19,130.9260
2019-06-18,130.2454
2019-06-17,129.5433
2019-06-14,129.0709
2019-06-13,128.5882
2019-06-12,128.0551
2019-06-11,127.5644
2019-06-10,126.9164
2019-06-07,126.1045
2019-06-06,125.3480
2019-06-05,124.9948
2019-06-04,124.8755
2019-06-03,125.1206
2019-05-31,125.8750
2019-05-30,126.1886
2019-05-29,126.2541
2019-05-28,126.4418
2019-05-24,126.4820
2019-05-23,126.5166
2019-05-22,126.5647
2019-05-21,126.4068
2019-05-20,126.3364
2019-05-17,126.3530
2019-05-16,126.1077
2019-05-15,125.7045
2019-05-14,125.6594
2019-05-13,125.7922
2019-05-10,126.1411
2019-05-09,125.9998
2019-05-08,126.0712
2019-05-07,126.1514
2019-05-06,126.2416
2019-05-03,125.9689
2019-05-02,125.5502
2019-05-01,125.4560
2019-04-30,125.1097
2019-04-29,124.3253
2019-04-26,123.5475
2019-04-25,122.6415
2019-04-24,121.7117
2019-04-23,121.2405
2019-04-22,120.6406
2019-04-18,120.1949
2019-04-17,119.7414
2019-04-16,119.4516
2019-04-15,119.2632
2019-04-12,119.0079
2019-04-11,118.7305
2019-04-10,118.5020
2019-04-09,118.2609
2019-04-08,118.1153
2019-04-05,117.8560
2019-04-04,117.5655
2019-04-03,117.3091
2019-04-02,116.9290
2019-04-01,116.6060
2019-03-29,116.2611
2019-03-28,116.0213
2019-03-27,115.8915
2019-03-26,115.7660
2019-03-25,115.4597
2019-03-22,115.1453
2019-03-21,114.8732
2019-03-20,114.1094
2019-03-19,113.6222
2019-03-18,113.0468
2019-03-15,112.4006
2019-03-14,111.8993
2019-03-13,111.5149
2019-03-12,111.0884
2019-03-11,110.7268
2019-03-08,110.4263
2019-03-07,110.4144
2019-03-06,110.4178
2019-03-05,110.2275
