time,MACD,MACD_Hist,MACD_Signal
2019-11-08,1.7892,0.3454,1.4438
2019-11-07,1.6707,0.3133,1.3575
2019-11-06,1.6682,0.3891,1.2791
2019-11-05,1.6612,0.4793,1.1819
2019-11-04,1.5873,0.5252,1.0620
2019-11-01,1.4607,0.5299,0.9307
2019-10-31,1.3624,0.5641,0.7983
2019-10-30,1.2527,0.5955,0.6572
2019-10-29,0.9683,0.4599,0.5084
2019-10-28,0.7724,0.3790,0.3934
2019-10-25,0.3726,0.0740,0.2987
2019-10-24,0.2093,-0.0709,0.2802
2019-10-23,0.0782,-0.2197,0.2979
2019-10-22,0.1847,-0.1681,0.3528
2019-10-21,0.4064,0.0116,0.3948
2019-10-18,0.4738,0.0819,0.3919
2019-10-17,0.6568,0.2854,0.3714
2019-10-16,0.6487,0.3486,0.3001
2019-10-15,0.5556,0.3426,0.2130
2019-10-14,0.3105,0.1832,0.1273
2019-10-11,0.1989,0.1174,0.0815
2019-10-10,0.0403,-0.0118,0.0521
2019-10-09,-0.1036,-0.1587,0.0551
2019-10-08,-0.1983,-0.2931,0.0948
2019-10-07,-0.0546,-0.2226,0.1680
2019-10-04,-0.0180,-0.2417,0.2237
2019-10-03,-0.0728,-0.3569,0.2841
2019-10-02,0.0456,-0.3277,0.3733
2019-10-01,0.3620,-0.0932,0.4553
2019-09-30,0.5143,0.0357,0.4786
2019-09-27,0.5015,0.0319,0.4697
2019-09-26,0.6103,0.1486,0.4617
2019-09-25,0.5560,0.1315,0.4245
2019-09-24,0.4969,0.1052,0.3917
2019-09-23,0.6159,0.2505,0.3654
2019-09-20,0.5796,0.2768,0.3027
2019-09-19,0.4943,0.2607,0.2335
2019-09-18,0.2122,0.0439,0.1683
2019-09-17,0.1087,-0.0486,0.1574
2019-09-16,0.0902,-0.0794,0.1695
2019-09-13,0.1731,-0.0163,0.1894
2019-09-12,0.1756,-0.0178,0.1934
2019-09-11,0.1559,-0.0420,0.1979
2019-09-10,0.2710,0.0626,0.2084
2019-09-09,0.4181,0.2253,0.1928
2019-09-06,0.4531,0.3166,0.1364
2019-09-05,0.3303,0.2730,0.0573
2019-09-04,0.0720,0.0830,-0.0110
2019-09-03,-0.0122,0.0195,-0.0317
2019-08-30,0.0423,0.0789,-0.0366
2019-08-29,-0.0741,-0.0177,-0.0563
2019-08-28,-0.2480,-0.1961,-0.0519
2019-08-27,-0.2057,-0.2028,-0.0029
2019-08-26,-0.1670,-0.2148,0.0478
2019-08-23,-0.0857,-0.1873,0.1015
2019-08-22,0.2290,0.0807,0.1483
2019-08-21,0.1805,0.0523,0.1282
2019-08-20,0.0130,-0.1021,0.1151
2019-08-19,-0.0451,-0.1857,0.1406
2019-08-16,-0.2357,-0.4228,0.1871
2019-08-15,-0.2435,-0.5362,0.2928
2019-08-14,-0.0004,-0.4272,0.4268
2019-08-13,0.2794,-0.2542,0.5336
2019-08-12,0.1620,-0.4352,0.5972
2019-08-09,0.2959,-0.4101,0.7060
2019-08-08,0.2670,-0.5415,0.8085
2019-08-07,0.1062,-0.8377,0.9439
2019-08-06,0.2668,-0.8864,1.1533
2019-08-05,0.5281,-0.8468,1.3749
2019-08-02,1.1065,-0.4801,1.5866
2019-08-01,1.3510,-0.3556,1.7066
2019-07-31,1.5253,-0.2702,1.7955
2019-07-30,1.9079,0.0449,1.8631
2019-07-29,1.9531,0.1012,1.8519
2019-07-26,1.9131,0.0865,1.8266
2019-07-25,1.8027,-0.0023,1.8049
2019-07-24,1.7526,-0.0529,1.8055
2019-07-23,1.6092,-0.2095,1.8187
2019-07-22,1.5484,-0.3228,1.8711
2019-07-19,1.5358,-0.4160,1.9518
2019-07-18,1.6816,-0.3742,2.0558
2019-07-17,1.8637,-0.2856,2.1493
2019-07-16,2.0843,-0.1364,2.2207
2019-07-15,2.2531,-0.0018,2.2548
2019-07-12,2.2504,-0.0049,2.2553
2019-07-11,2.2142,-0.0423,2.2565
2019-07-10,2.1868,-0.0803,2.2671
2019-07-09,2.1760,-0.1112,2.2871
2019-07-08,2.2720,-0.0429,2.3149
2019-07-05,2.3106,-0.0151,2.3257
2019-07-03,2.3161,-0.0133,2.3294
2019-07-02,2.2487,-0.0840,2.3328
2019-07-01,2.2196,-0.1341,2.3538
2019-06-28,2.2418,-0.1455,2.3873
2019-06-27,2.4127,-0.0110,2.4237
2019-06-26,2.5763,0.1498,2.4264
2019-06-25,2.7700,0.3811,2.3890
2019-06-24,3.0279,0.7342,2.2937
2019-06-21,2.8702,0.7600,2.1101
2019-06-20,2.7096,0.7894,1.9201
2019-06-19,2.4672,0.7444,1.7228
2019-06-18,2.2502,0.7135,1.5367
2019-06-17,1.9945,0.6362,1.3583
2019-06-14,1.8743,0.6751,1.1992
2019-06-13,1.7344,0.7039,1.0305
2019-06-12,1.5438,0.6893,0.8545
2019-06-11,1.3626,0.6804,0.6822
2019-06-10,1.0494,0.5373,0.5121
2019-06-07,0.5834,0.2056,0.3778
2019-06-06,0.1024,-0.2240,0.3264
2019-06-05,-0.1486,-0.5309,0.3823
2019-06-04,-0.2641,-0.7792,0.5151
2019-06-03,-0.1359,-0.8458,0.7099
2019-05-31,0.3678,-0.5535,0.9213
2019-05-30,0.6144,-0.4453,1.0597
2019-05-29,0.7114,-0.4596,1.1710
2019-05-28,0.9054,-0.3805,1.2859
2019-05-24,1.0155,-0.3655,1.3811
2019-05-23,1.1332,-0.3392,1.4724
2019-05-22,1.2731,-0.2842,1.5572
2019-05-21,1.2813,-0.3470,1.6283
2019-05-20,1.3516,-0.3634,1.7150
2019-05-17,1.4909,-0.3149,1.8059
2019-05-16,1.4587,-0.4259,1.8846
2019-05-15,1.3088,-0.6823,1.9911
2019-05-14,1.3946,-0.7670,2.1617
2019-05-13,1.6153,-0.7381,2.3534
2019-05-10,2.0140,-0.5239,2.5380
2019-05-09,2.1087,-0.5602,2.6689
2019-05-08,2.3649,-0.4441,2.8090
2019-05-07,2.6564,-0.2636,2.9200
2019-05-06,2.9889,0.0029,2.9859
2019-05-03,3.1019,0.1168,2.9852
2019-05-02,3.1248,0.1688,2.9560
2019-05-01,3.3824,0.4686,2.9138
2019-04-30,3.4919,0.6953,2.7966
2019-04-29,3.3040,0.6812,2.6228
2019-04-26,3.1006,0.6481,2.4525
2019-04-25,2.7837,0.4932,2.2905
2019-04-24,2.4141,0.2469,2.1672
2019-04-23,2.3287,0.2232,2.1055
2019-04-22,2.1420,0.0923,2.0497
2019-04-18,2.0437,0.0171,2.0266
2019-04-17,1.9282,-0.0941,2.0223
2019-04-16,1.9156,-0.1303,2.0459
2019-04-15,1.9735,-0.1050,2.0784
2019-04-12,1.9901,-0.1145,2.1047
2019-04-11,1.9927,-0.1406,2.1333
2019-04-10,2.0300,-0.1384,2.1684
2019-04-09,2.0624,-0.1406,2.2031
2019-04-08,2.1664,-0.0718,2.2382
2019-04-05,2.2015,-0.0546,2.2562
2019-04-04,2.2183,-0.0515,2.2698
