time,SMA
2019-11-08,142.3147
2019-11-07,141.7447
2019-11-06,141.4400
2019-11-05,141.1967
2019-11-04,141.0040
2019-11-01,140.6707
2019-10-31,140.4013
2019-10-30,140.1167
2019-10-29,139.6920
2019-10-28,139.2147
2019-10-25,138.7433
2019-10-24,138.5693
2019-10-23,138.3253
2019-10-22,138.1527
2019-10-21,138.1993
2019-10-18,138.2393
2019-10-17,138.2607
2019-10-16,138.2507
2019-10-15,138.1807
2019-10-14,137.9013
2019-10-11,137.8740
2019-10-10,137.8580
2019-10-09,137.9893
2019-10-08,138.0080
2019-10-07,138.1227
2019-10-04,138.0700
2019-10-03,138.0167
2019-10-02,138.0993
2019-10-01,138.1973
2019-09-30,138.1313
2019-09-27,138.0307
2019-09-26,138.1220
2019-09-25,138.1560
2019-09-24,138.0407
2019-09-23,137.9513
2019-09-20,137.8660
2019-09-19,137.7780
2019-09-18,137.4107
2019-09-17,137.2253
2019-09-16,137.0960
2019-09-13,136.9000
2019-09-12,136.9307
2019-09-11,137.0153
2019-09-10,137.0913
2019-09-09,137.2467
2019-09-06,137.1540
2019-09-05,136.7927
2019-09-04,136.3880
2019-09-03,136.4527
2019-08-30,136.4360
2019-08-29,136.4260
2019-08-28,136.4773
2019-08-27,136.4587
2019-08-26,136.3887
2019-08-23,136.1727
2019-08-22,136.4067
2019-08-21,136.4253
2019-08-20,136.2573
2019-08-19,136.4633
2019-08-16,136.6380
2019-08-15,136.9853
2019-08-14,137.4193
2019-08-13,137.8687
2019-08-12,137.9147
2019-08-09,138.0907
2019-08-08,138.0180
2019-08-07,137.8533
2019-08-06,137.9193
2019-08-05,138.0787
2019-08-02,138.5247
2019-08-01,138.6580
2019-07-31,138.6807
2019-07-30,138.7860
2019-07-29,138.5267
2019-07-26,138.2553
2019-07-25,137.9700
2019-07-24,137.7880
2019-07-23,137.5120
2019-07-22,137.2713
2019-07-19,136.9733
2019-07-18,136.8087
2019-07-17,136.6427
2019-07-16,136.4533
2019-07-15,136.5000
2019-07-12,136.3713
2019-07-11,136.2413
2019-07-10,136.0607
2019-07-09,135.8813
2019-07-08,135.6407
2019-07-05,135.3400
2019-07-03,135.0240
2019-07-02,134.6260
2019-07-01,134.3273
2019-06-28,134.1220
2019-06-27,133.9513
2019-06-26,133.5293
2019-06-25,132.9893
2019-06-24,132.3047
2019-06-21,131.1087
2019-06-20,130.2227
2019-06-19,129.4747
2019-06-18,128.7580
2019-06-17,128.1580
2019-06-14,127.7173
2019-06-13,127.2993
2019-06-12,126.9893
2019-06-11,126.6833
2019-06-10,126.2913
2019-06-07,125.9893
2019-06-06,125.8247
2019-06-05,125.7047
2019-06-04,125.6313
2019-06-03,125.6440
2019-05-31,126.1300
2019-05-30,126.2513
2019-05-29,126.2367
2019-05-28,126.2753
2019-05-24,126.4080
2019-05-23,126.5853
2019-05-22,126.5873
2019-05-21,126.6013
2019-05-20,126.8480
2019-05-17,127.0847
2019-05-16,127.2060
2019-05-15,127.2207
2019-05-14,127.1533
2019-05-13,127.2007
2019-05-10,127.2280
2019-05-09,126.9773
2019-05-08,126.7287
2019-05-07,126.4127
2019-05-06,126.1147
2019-05-03,125.6347
2019-05-02,125.0633
2019-05-01,124.6620
2019-04-30,124.0887
2019-04-29,123.3773
2019-04-26,122.7187
2019-04-25,122.0167
2019-04-24,121.4047
2019-04-23,121.0167
2019-04-22,120.5887
2019-04-18,120.2007
2019-04-17,119.7713
2019-04-16,119.4380
2019-04-15,119.2473
2019-04-12,119.0213
2019-04-11,118.7613
2019-04-10,118.7540
2019-04-09,118.5760
2019-04-08,118.4673
2019-04-05,118.3100
2019-04-04,118.0447
2019-04-03,117.7267
2019-04-02,117.3620
2019-04-01,116.9907
2019-03-29,116.5780
2019-03-28,116.0827
2019-03-27,115.6467
2019-03-26,115.3120
2019-03-25,114.8980
2019-03-22,114.5380
2019-03-21,114.2367
2019-03-20,113.6907
2019-03-19,113.3340
2019-03-18,112.9813
2019-03-15,112.5827
2019-03-14,112.2533
2019-03-13,111.9080
2019-03-12,111.4180
2019-03-11,111.0547
2019-03-08,110.7473
2019-03-07,110.5067
2019-03-06,110.2680
2019-03-05,109.9440
2019-03-04,109.5140
2019-03-01,109.0747
2019-02-28,108.5907
2019-02-27,108.1907
2019-02-26,107.8607
2019-02-25,107.4193
2019-02-22,106.8320
2019-02-21,106.3960
2019-02-20,106.1940
2019-02-19,105.9133
2019-02-15,105.7073
2019-02-14,105.6373
2019-02-13,105.5907
2019-02-12,105.5840
2019-02-11,105.5033
2019-02-08,105.6673
2019-02-07,105.6973
2019-02-06,105.7047
2019-02-05,105.6367
2019-02-04,105.2920
2019-02-01,105.0960
